               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.1666,              5.6504,              5.2495,           0.0012365,             0.35859,          0.00086517,           0.0001655,                   0,                   0,                   0,              0.0892,              0.0012,              0.0012
                   1,              4.1573,              5.5131,              5.2505,           0.0012493,             0.35354,          0.00087385,          0.00016519,                   0,                   0,                   0,            0.077495,            0.002495,            0.002495
                   2,              3.9801,              5.5374,              5.2409,           0.0012922,             0.35354,          0.00087622,          0.00016235,                   0,                   0,                   0,            0.065785,            0.003785,            0.003785
                   3,              4.1197,               5.486,              5.2423,           0.0013036,             0.35354,           0.0010128,          0.00017802,                   0,                   0,                   0,             0.05407,           0.0050697,           0.0050697
                   4,               4.206,              5.4429,              5.2279,           0.0013818,             0.35354,           0.0010013,          0.00018625,                   0,                   0,                   0,            0.042349,           0.0063493,           0.0063493
                   5,              4.0689,              5.3382,              5.2354,           0.0014285,             0.35859,            0.001002,          0.00019177,                   0,                   0,                   0,            0.030624,           0.0076238,           0.0076238
                   6,               4.203,              5.2417,              5.2329,           0.0017906,              0.5303,           0.0015033,          0.00029289,                   0,                   0,                   0,            0.018893,           0.0088931,           0.0088931
                   7,              4.1255,              4.9035,              5.2001,           0.0022785,             0.09596,           0.0012796,          0.00024984,                   0,                   0,                   0,           0.0098614,           0.0098614,           0.0098614
                   8,              3.8187,              4.5633,              5.0354,          0.00058923,             0.17677,          0.00038384,          9.5803e-05,                   0,                   0,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,              3.2257,              3.5506,              4.3465,          5.0505e-05,            0.015152,          2.8942e-05,          2.8942e-06,                   0,                   0,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,               2.604,              2.7091,              3.7173,           0.0034715,             0.76768,           0.0031985,          0.00077136,                   0,                   0,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,              2.3221,              2.2394,              3.1177,            0.014763,             0.75253,            0.014494,           0.0056805,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                  12,              2.0532,              1.8293,              2.7679,             0.69763,             0.93939,             0.91105,             0.48728,                   0,                   0,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,              1.8401,              1.5127,              2.4888,              0.9382,             0.84343,             0.91546,             0.58246,                   0,                   0,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,              1.7312,              1.3746,              2.3536,             0.73531,                   1,             0.98932,             0.77972,                   0,                   0,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,              1.5986,              1.1849,              2.1196,             0.87019,              0.9899,             0.98765,             0.68989,                   0,                   0,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,              1.4951,               1.143,               2.008,             0.88279,             0.90404,             0.94381,             0.65218,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  17,              1.3861,              1.0875,              1.9091,             0.95069,             0.97365,             0.99207,             0.71041,                   0,                   0,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,              1.3774,              1.0476,              1.8776,             0.95446,             0.95274,             0.99002,             0.72021,                   0,                   0,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,              1.3238,              0.9512,              1.8324,             0.96232,             0.99495,             0.99395,             0.77088,                   0,                   0,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,              1.2484,             0.91161,              1.7697,             0.93655,                   1,              0.9944,              0.7944,                   0,                   0,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,               1.204,             0.86663,              1.7226,             0.95581,             0.98485,             0.99264,             0.79638,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  22,              1.1709,             0.80431,              1.6803,             0.98818,                   1,             0.99495,             0.72979,                   0,                   0,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,              1.1658,              0.8244,               1.656,                   1,             0.99999,               0.995,             0.74044,                   0,                   0,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,              1.1169,             0.78891,              1.6304,                0.99,             0.99978,              0.9949,             0.85011,                   0,                   0,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,              1.1385,              0.7724,              1.6519,             0.90711,             0.88384,             0.95364,             0.75197,                   0,                   0,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,              1.0836,             0.74826,              1.6152,             0.86528,             0.97314,             0.94536,               0.753,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  27,              1.0638,             0.72324,              1.5876,             0.98303,             0.97475,              0.9921,              0.8114,                   0,                   0,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,              1.0628,             0.69166,              1.5921,             0.99945,                   1,               0.995,             0.85381,                   0,                   0,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,              1.0315,             0.68735,              1.5357,             0.99935,                   1,               0.995,             0.84185,                   0,                   0,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,              1.0323,             0.68403,              1.5145,             0.99382,             0.99495,             0.99495,             0.79167,                   0,                   0,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,              0.9994,             0.64282,              1.4984,                   1,             0.99975,               0.995,             0.83802,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  32,              1.0083,             0.67199,              1.5029,             0.99883,                   1,               0.995,             0.84694,                   0,                   0,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,              0.9646,             0.62584,              1.5065,             0.99885,                   1,               0.995,              0.8671,                   0,                   0,                   0,           0.0093664,           0.0093664,           0.0093664
